6177;Fatih Arda;Ipcioglu;1997-09-28;TUR 
7069;Marko;Ipunen;1992-09-27;FIN 
4259;Daiki;Ito;1985-12-27;JPN 
4963;Kenshiro;Ito;1990-01-08;JPN 
6781;Masamitsu;Ito;1998-02-27;JPN 
6620;Andriej;Iwanowskij;1986-03-24;RUS 
6997;Yuken;Iwasa;1999-07-02;JPN 
7486;Espen;Jacobsen;1998-09-15;NOR 
7389;Frederik;Jäger;2002-05-10;GER 
7418;Maximilian;Jäger;2002-07-04;GER 
7411;Frantisek;Janata;2003-08-28;CZE 
1984;Jakub;Janda;1978-04-27;CZE 
7298;Roman;Janik;1999-12-20;CZE 
6699;Konrad;Janota;1994-11-13;POL 
6491;Dawid;Jarząbek;1999-03-03;POL 
6483;Ziga;Jelar;1997-10-22;SLO 
5622;Marjan;Jelenko;1991-07-22;SLO 
6469;Florjan;Jelovcan;1997-02-01;SLO 
7191;Gårder;Jens;2000-10-04;NOR 
7731;Erik;Johannessen;1999-08-27;NOR 
5589;Robert;Johansson;1990-03-23;NOR 
5479;Dejan;Judez;1990-08-02;SLO 
7243;Jakub;Jurosz;1998-01-27;POL 
5695;Rok;Justin;1993-04-06;SLO 
6523;Rok;Juvancic;1997-05-29;SLO 
6055;Milos;Kadlec;1992-11-26;CZE 
7587;Iłszat;Kadyrow;2004-05-03;KAZ 
6008;Pascal;Kälin;1993-01-11;SUI 
6701;Timon-Pascal;Kahofer;1999-03-10;AUT 
6678;Ben;Kaiser;1998-05-08;USA 
5895;Maximilian;Kaiser;1993-11-17;GER 
6463;Andrij;Kalinczuk;1995-12-03;UKR 
5664;Witalij;Kaliniczenko;1993-08-09;UKR 
2874;Anton;Kaliniczenko;1982-07-22;RUS 
7551;Ryosuke;Kamimura;1990-07-12;JPN 
6688;Aleksiej;Kamynin;1994-12-22;RUS 
3006;Chil-Ku;Kang;1984-08-08;KOR 
6978;Lukas;Kantor;1998-04-05;CZE 
6530;Przemysław;Kantyka;1996-12-15;POL 
6942;Stanisław;Karacupa;2000-07-05;KAZ 
6119;Gabriel;Karlen;1994-03-10;SUI 
6175;Samet;Karta;1993-09-09;TUR 
2022;Noriaki;Kasai;1972-06-06;JPN 
7695;Hiroaki;Kashiwagi;1993-07-25;JPN 
6991;Dominik;Kastelik;1998-06-09;POL 
2970;Kalle;Keituri;1984-04-25;FIN 
6983;Peter;Kelemen;1999-02-06;HUN 
7627;Sebastian;Kellerman;2000-06-17;GER 
6782;Aleksander;Chalezow;1994-12-02;RUS 
6663;Kanat;Chamitow;1995-02-03;KAZ 
7465;Ratmir;Chaziejew;1998-03-20;RUS 
6318;Artiom;Chodunow;1991-12-10;RUS 
6455;Bong-Joo;Kim;1993-10-22;KOR 
2024;Hyun-Ki;Kim;1983-02-09;KOR 
7173;Lars;Kindlimann;2000-11-28;SUI 
6353;Yoshiki;Kinjo;1994-03-21;JPN 
7364;Yuto;Kinoshita;1996-04-27;JPN 
7557;Kenshiro;Kitamura;1999-01-07;JPN 
6484;Jernej;Klaric;1995-10-28;SLO 
7280;Sander;Kleven;1998-09-26;NOR 
6645;Jewgienij;Klimow;1994-02-03;RUS 
7332;Bartłomiej;Klimowski;2002-01-10;POL 
5836;Gasper;Klinec;1991-11-04;SLO 
6398;Sebastian;Klinga;1992-04-26;FIN 
5547;Bartłomiej;Kłusek;1993-01-15;POL 
5773;Andrij;Klymczuk;1994-12-10;UKR 
7656;Simon;Knüsel;2001-01-24;SUI 
5451;Junshiro;Kobayashi;1991-06-11;JPN 
7311;Ryohei;Kobayashi;1998-01-30;JPN 
6288;Ryouy;Kobayashi;1996-11-08;JPN 
4498;Daniel;Köhler;1989-09-01;GER 
5684;Michael;Köhler;1992-01-19;GER 
6668;Sebastian;Köhler;1997-07-20;GER 
7634;Tobias;König;2001-12-31;GER 
4141;Andreas;Kofler;1984-05-17;AUT 
6393;Max;Koga;1996-07-06;JPN 
6527;Patrick;Kogler;1997-04-19;AUT 
6156;Mateusz;Kojzar;1994-10-14;POL 
7374;Matti;Kolari;2002-07-05;FIN 
7133;Krystian;Kołodziej;1997-11-03;POL 
6949;Klaus Mark;Kolpakov;1999-01-05;EST 
6572;Shinya;Komaba;1996-01-23;JPN 
7466;Artiom;Komarow;1998-02-04;RUS 
7001;Kazuki;Kon;1993-09-15;JPN 
7606;Jiri;Konvalinka;2004-11-27;CZE 
6307;Dusty;Korek;1995-04-19;CAN 
7095;Janne;Korhonen;1996-10-30;FIN 
7209;Ville;Korhonen;1996-10-30;FIN 
4880;Denis;Korniłow;1986-08-17;RUS 
7515;Christian;Korody;1993-09-30;NOR 
1905;Aleksiej;Korolew;1987-06-20;KAZ 
7492;Lovro;Kos;1999-07-23;SLO 
7353;Jakob;Kosak;2000-08-16;GER 
5892;Jaka;Kosec;1994-04-01;SLO 
5297;Jakub;Kot;1990-01-19;POL 
5298;Maciej;Kot;1991-06-09;POL 
7420;Kirył;Kotik;1998-11-02;RUS 
4801;Roman;Koudelka;1989-07-09;CZE 
7357;Waża;Kozanaszwili;2000-06-04;GEO 
4583;Siergiej;Kożewnikow;1982-02-01;RUS 
5063;Cestmir;Kozisek;1991-11-09;CZE 
3120;Aleksander;Kozłow;;RUS 
7162;Michaił;Kozłow;2001-02-20;RUS 
5497;Stefan;Kraft;1993-05-13;AUT 
6108;Urh;Krajncan;1995-03-25;SLO 
2186;Matic;Kramarsic;1990-02-02;SLO 
2918;Robert;Kranjec;1981-07-16;SLO 
6684;David;Krapez;1993-12-28;SLO 
7222;Jan-Oswald;Krassnegger;1997-06-26;AUT 
7122;Ilja;Kratow;2000-05-26;KAZ 
6342;Marinus;Kraus;1991-02-13;GER 
7158;Phil Niklas;Kreischer;1998-04-14;GER 
6809;Arpad Timar;Krizbay;2000-07-08;ROU 
7445;Dawid;Krupa;1998-01-19;POL 
7654;Jarosław;Krzak;2000-08-09;POL 
5142;Dawid;Kubacki;1990-03-12;POL 
7205;Lukas;Kubena;2000-06-15;CZE 
4249;Takahiro;Kubo;1986-01-18;JPN 
6269;Akihiro;Kudo;1962-11-18;JPN 
7561;Sota;Kudo;2002-01-31;JPN 
7300;Soya;Kudo;1998-07-15;JPN 
7585;Konstantin;Kudrjawcew;1999-07-29;KAZ 
7335;Piotr;Kudzia;2000-11-18;POL 
7231;Corvin;Kühnel;1999-11-23;GER 
6497;Jakow;Kukaczew;1996-07-28;RUS 
5548;Artur;Kukuła;1992-07-17;POL 
6685;Siergiej;Kulikow;1994-04-20;RUS 
5361;Mika;Kulmala;1989-04-25;FIN 
7691;Florian;Kunath;1999-03-23;GER 
7245;Masaki;Kunii;1960-05-04;JPN 
7467;Wiaczesław;Kuranow;1998-08-24;RUS 
7556;Riki;Kurita;1998-09-16;JPN 
7499;Ryo;Kurokawa;2000-03-23;JPN 
6784;Toshiki;Kurokawa;1996-04-17;JPN 
6954;Jan;Kus;1998-03-08;SLO 
7498;Ryuki;Kusaka;2002-02-16;JPN 
7228;Mykoła;Kusznirczuk;1999-10-15;UKR 
5471;Dmitrij;Kuźniecow;1989-01-13;RUS 
6744;Nikita;Kuźniecow;1997-01-18;RUS 
6292;Miha;Kveder;1993-10-18;SLO 
5116;Jere;Kykkänen;1988-10-12;FIN 
7322;Eetu;Kytösaho;1997-03-25;FIN 
6912;Niko;Kytösaho;1999-12-18;FIN 
5517;Thomas;Lackner;1993-04-09;AUT 
7324;Janez;Lackovic;1999-11-19;SLO 
7107;Olan;Lacroix;2001-01-23;SUI 
7192;Anders;Ladehaug;1999-10-31;NOR 
5723;Ronan;Lamy Chappuis;1993-09-10;FRA 
7083;Jonas;Langgård;1993-01-11;NOR 
6856;Iwan;Łanin;1992-01-15;RUS 
6437;Anze;Lanisek;1996-04-20;SLO 
5396;Ville;Larinto;1990-04-11;FIN 
6877;Casey;Larson;1998-12-16;USA 
6349;Benjamin;Larsson;1996-06-04;SWE 
6549;Damian;Lasota;1997-05-11;CZE 
6851;Nigel;Lauchlan;1996-03-03;CAN 
6289;Anze;Lavtizar;1996-05-02;SLO 
6956;Jonathan;Learoyd;2000-11-03;FRA 
6471;Matej;Lebar;1995-06-11;SLO 
7720;Niklas;Lechner;2000-11-08;AUT 
7738;Backett;Ledger;2000-03-15;USA 
7166;Ju-Chan;Lee;1996-09-03;KOR 
6431;Aapo;Lehtinen;1996-01-13;FIN 
6711;Clemens;Leitner;1998-11-07;AUT 
5512;Krzysztof;Leja;1996-02-21;POL 
6041;Grigorij;Leontiew;1992-11-14;RUS 
7174;Kristjan;Lesnik;1999-06-22;SLO 
5262;Stephan;Leyhe;1992-01-05;GER 
6226;Chao;Li;;CHN 
6225;Qiang;Li;;CHN 
7082;Kristian;Lian;1994-01-01;NOR 
7289;Maximilian;Liehner;1999-01-30;AUT 
7697;Stever;Liivamagi;1997-12-01;EST 
5838;Matej;Likar;1991-02-04;SLO 
